ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007599,hemostasis,21/791,250/18860,0.084,2.0028318584070797,3.3396845941724522,0.0020327797764641037,0.02655742914560788,0.02077888711713479,PDPN/C1QTNF1/HPS5/RAP2B/EPHB2/PLA2G4A/ANGPTL1/SLC7A11/ITGA2/TSPAN8/ANGPTL7/THBS1/UBASH3B/MERTK/ADRA2A/NFE2/HPSE/PRRG3/PLCG2/TSPAN32/HTR2A,21
GO:0051017,actin filament bundle assembly,16/791,169/18860,0.09467455621301775,2.2573478257617126,3.435287046248657,0.0020349899975394656,0.02655742914560788,0.02077888711713479,SYNPO2/FAM107A/AMOT/AIF1L/ARHGAP28/PIK3R1/NEDD9/S1PR1/NF2/CORO2B/CCN2/CARMIL1/SORBS1/MTSS1/RGCC/PHACTR1,16
GO:0042698,ovulation cycle,9/791,68/18860,0.1323529411764706,3.1557224659775414,3.7259868283475375,0.0020593485255766112,0.026804218904330494,0.020971978719113524,ADAMTS1/PTX3/FOXO3/LEP/TGFB2/TNFAIP6/MSTN/ESR1/LHCGR,9
GO:0043542,endothelial cell migration,24/791,302/18860,0.07947019867549669,1.8948267345383916,3.2798754360853413,0.002135109877343905,0.02768936692570889,0.02166453034816376,CCN3/AMOT/PLPP3/PIK3R3/RHOJ/PLK2/BMPER/GLUL/ROBO1/HSPA12B/RHOB/VEGFA/THBS1/PPARG/AGT/NRP2/STC1/NR4A1/RGCC/EGR3/HMOX1/FGF1/PTGS2/DLL4,24
GO:0007626,locomotory behavior,19/791,218/18860,0.0871559633027523,2.07808023753465,3.349759234431769,0.002146782254910997,0.02768936692570889,0.02166453034816376,CXCL12/ABAT/TUBA1A/PPP1R1B/PRKCE/GPR37/ALDH1A3/NEGR1/GDNF/SLITRK6/CHL1/SPTBN4/ADCY8/RASD2/EPHA4/KCND2/RCAN1/RCAN2/PREX2,19
GO:0098739,import across plasma membrane,19/791,218/18860,0.0871559633027523,2.07808023753465,3.349759234431769,0.002146782254910997,0.02768936692570889,0.02166453034816376,STEAP2/SLC6A6/SLC6A9/ACSL1/IRS2/ABCC9/SLC39A10/SLC5A6/SLC7A11/SLC38A2/ANK2/NEDD4L/THBS1/CACNA1G/SLC38A5/TRPV6/PER2/RGS4/SLC7A5,19
GO:1901888,regulation of cell junction assembly,23/791,285/18860,0.08070175438596491,1.924191008494688,3.2892756556179,0.002149865480817235,0.02768936692570889,0.02166453034816376,FAM107A/PDLIM5/GPM6B/EPHB2/FLRT3/LRRC15/NEGR1/EPHB3/LRRTM2/APOD/SLITRK6/CYFIP2/VEGFA/THBS1/FZD5/AGT/RAC3/PRKCH/LZTS1/RTN4RL2/COLQ/ELMO1/LRRN3,23
GO:0006563,L-serine metabolic process,4/791,14/18860,0.2857142857142857,6.812353259888026,4.551839489607305,0.0021942553215809576,0.027712336603112498,0.021682502130419855,CBS/LOC102724560/PHGDH/PSAT1,4
GO:0007567,parturition,4/791,14/18860,0.2857142857142857,6.812353259888026,4.551839489607305,0.0021942553215809576,0.027712336603112498,0.021682502130419855,OXTR/MAFF/PLA2G4C/RXFP1,4
GO:0042447,hormone catabolic process,4/791,14/18860,0.2857142857142857,6.812353259888026,4.551839489607305,0.0021942553215809576,0.027712336603112498,0.021682502130419855,CPA4/HSD17B6/DIO2/CYP19A1,4
